ID_Cliente,Nome_Completo,Data_Nascimento,Idade,Genero,Estado_Civil,Nacionalidade,Nivel_Educacional,Profissao,Renda_Mensal,Numero_Dependentes,Residencia_Propria,Tempo_Residencia_Anos,CEP,Score_Credito,ID_Conta,Tipo_Conta,Data_Abertura_Conta,Tempo_Relacionamento_Anos,Saldo_Atual,Limite_Cheque_Especial,Numero_Transacoes_Mes_Media,Valor_Transacao_Media,Tipo_Transacao_Mais_Comum,Frequencia_Transacoes_Online,Tem_Emprestimo_Ativo,Tipo_Emprestimo,Valor_Emprestimo,Taxa_Juros_Emprestimo,Prazo_Emprestimo_Meses,Status_Emprestimo,Canais_Utilizados,Numero_Reclamacoes_Ultimo_Ano,Satisfacao_Cliente,Saldo_Anterior_3M,Variacao_Saldo_Percentual_3M,Limite_Cartao_Credito,Utilizacao_Credito_Percentual,Numero_Emprestimos_Anteriores,Valor_Total_Emprestimos_Anteriores,Taxa_Media_Emprestimos_Anteriores,Perfil_Investidor,Segmento_Banco,Possui_Cartao_Credito,Possui_Seguro_Vida,Possui_Previdencia,Possui_Investimentos,Percentual_Pagamento_Fatura,Atraso_Medio_Pagamentos_Dias,Percentual_Comprometimento_Renda,Risco_Inadimplencia
8040,João Lucas Garcia,1950-02-26,74,Feminino,Viúvo,Brasileira,Superior Completo,Aposentado,8380.74,0.0,Sim,37.7,90234-247,851,8040,Premium,2023-07-30,1.5770020533880904,67029.48,26162.6,53,784.56,Compra Crédito,Baixa,Sim,Pessoal,70911.5,3.91,48.0,Em Dia,Telefone,0.0,Neutro,60646.57,10.52,32339.7,31.17,2,72607.15,0.95,Conservador,Private,Sim,Não,Sim,Sim,79.96,0.5,100.0,66.4
8041,Aurora Sousa,1949-02-25,76,Masculino,Viúvo,Brasileira,Ensino Médio,Contador,3786.12,0.0,Sim,2.2,52652-623,700,8041,Salário,1980-05-08,44.80219028062971,10170.21,0.0,17,443.66,Pagamento de Boleto,Baixa,Não,,,,,,Internet Banking,0.0,Neutro,9966.89,2.04,7227.28,20.88,10,427018.51,1.72,Conservador,Varejo,Sim,Não,Não,Não,51.92,1.7,45.49,57.8
8042,Melina Souza,1990-02-26,34,Feminino,Solteiro,Brasileira,Superior Incompleto,Empresário,7000.16,0.0,Não,0.2,70036-521,744,8042,Corrente,2019-07-04,5.648186173853525,52163.69,6192.37,41,682.7,Compra Débito,Alta,Não,,,,,,Mobile Banking,0.0,,48240.99,8.13,14585.9,44.45,1,32294.43,2.06,Arrojado,Alta Renda,Sim,Sim,Não,Sim,81.69,3.8,81.72,77.9
8043,Elisa Pastor,2001-02-25,24,Feminino,Solteiro,Brasileira,Superior Completo,,7348.41,0.0,Não,0.7,90062-226,728,8043,Corrente,2022-04-26,2.836413415468857,14475.04,6921.81,35,394.63,Compra Débito,,Não,,,,,,Mobile Banking,0.0,Neutro,14885.07,-2.75,15540.17,11.77,0,0.0,,Moderado,Média Renda,Sim,Sim,Sim,Não,84.63,6.4,32.96,62.9
8044,Ana Luiza das Neves,1972-02-26,52,Feminino,Casado,Brasileira,Ensino Fundamental,Analista,4479.72,2.0,Não,2.9,15413-145,728,8044,Corrente,1994-11-19,30.269678302532512,-3016.38,4626.75,24,1131.31,Compra Débito,Média,Não,,,,,,Mobile Banking,0.0,Neutro,-2965.28,1.72,11641.5,10.7,10,178835.64,1.52,Moderado,Média Renda,Sim,Não,Não,Sim,85.85,2.4,44.72,56.8
8045,Gustavo Henrique Gonçalves,1983-02-26,41,Masculino,Casado,Brasileira,Pós-Graduação,Contador,21145.2,2.0,Não,9.7,77855-409,857,8045,Salário,2012-10-05,12.39151266255989,129979.88,0.0,20,2749.6,Saque,Média,Sim,Veículo,124787.22,1.21,48.0,Em Dia,Internet Banking,0.0,Satisfeito,125994.43,3.16,61111.4,14.79,2,611552.41,1.19,Moderado,Private,Sim,Sim,Sim,Não,80.53,0.5,57.27,44.4
8046,José Miguel Garcia,1997-02-25,28,Feminino,Solteiro,Portuguesa,Superior Completo,Vendedor,16749.78,0.0,Sim,3.8,90223-895,861,8046,Premium,2017-07-27,7.58384668035592,114755.35,50947.24,45,2670.7,Compra Débito,Alta,Sim,Pessoal,67524.69,2.74,36.0,Em Dia,Agência Física,0.0,Satisfeito,115370.37,-0.53,102682.95,31.82,1,205094.89,1.44,Arrojado,Private,Sim,Não,Sim,Sim,86.78,0.5,100.0,65.4
8047,Marina da Luz,1972-02-26,52,Masculino,Viúvo,Brasileira,Ensino Médio,Gerente,4432.46,0.0,Não,5.8,86669-483,737,8047,Poupança,2000-10-11,24.3750855578371,169083.57,0.0,4,971.08,Depósito,Baixa,Sim,Veículo,56249.78,1.47,72.0,Em Dia,Mobile Banking,0.0,Neutro,162772.46,3.88,5102.49,16.17,4,130190.33,2.73,Moderado,Alta Renda,Sim,Não,Não,Não,81.77,1.1,49.84,54.5
8048,Sr. Arthur Sales,2002-02-26,22,Masculino,Solteiro,Portuguesa,Ensino Médio,Médico,3072.52,0.0,Não,0.4,71538-172,630,8048,Corrente,2021-06-04,3.728952772073922,5185.78,3222.3,32,434.03,Depósito,Alta,Não,,,,,,Mobile Banking,3.0,,7694.19,-32.6,8749.05,80.77,0,0.0,,Moderado,Varejo,Não,Sim,Não,Não,,,16.46,45.2
8049,Daniel Aragão,1961-02-25,64,Masculino,Solteiro,Brasileira,Superior Incompleto,Empresário,4856.39,2.0,Sim,,62155-144,719,8049,Salário,1998-01-13,27.11841204654346,22746.03,0.0,11,960.53,Pagamento de Boleto,Alta,Não,,,,,,Internet Banking,0.0,Neutro,22619.19,0.56,14309.56,60.38,7,366946.43,1.83,Conservador,Média Renda,Sim,Não,Não,Não,58.29,0.8,100.0,80.5
8050,Manuela Mendes,1995-02-26,29,Masculino,Casado,Brasileira,Superior Completo,Contador,5749.13,3.0,Não,1.1,12729-661,769,8050,Poupança,2015-12-18,9.190965092402465,35716.04,0.0,5,2376.52,Saque,Alta,Não,,,,,,Telefone,0.0,Neutro,34573.87,3.3,16659.72,28.88,1,36607.55,2.62,Arrojado,Média Renda,Sim,Sim,Não,Não,77.14,0.7,100.0,75.2
8051,Antony Nascimento,1995-02-26,29,Masculino,Solteiro,Brasileira,Ensino Médio,Professor,2541.57,0.0,Não,2.2,62932-145,715,8051,Salário,2020-01-14,5.117043121149897,9077.94,0.0,12,371.22,Compra Crédito,Baixa,Não,,,,,,Mobile Banking,0.0,Neutro,9661.39,-6.04,3220.78,38.86,1,14391.07,2.16,Arrojado,Varejo,Sim,Não,Não,Não,85.59,2.7,54.91,64.1
8052,Luigi Castro,1993-02-25,32,Masculino,Casado,Brasileira,Ensino Fundamental,Gerente,4582.42,1.0,Não,2.6,75760-719,595,8052,Salário,2021-04-25,3.838466803559206,31458.73,0.0,15,222.79,Compra Crédito,Alta,Não,,,,,,Internet Banking,0.0,Insatisfeito,30998.71,1.48,5035.54,57.26,0,0.0,,Moderado,Média Renda,Sim,Sim,Sim,Não,79.86,5.2,73.18,92.7
8053,Bryan Nogueira,1952-02-26,72,Feminino,Solteiro,Brasileira,,Aposentado,,0.0,Não,4.7,58244-607,640,8053,Digital,1975-12-03,49.23203285420944,16815.42,0.0,15,183.09,Compra Débito,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,16391.49,2.59,3171.86,73.16,16,165189.43,4.32,Conservador,Varejo,Sim,Não,Não,Não,77.05,1.5,89.69,85.3
8054,Maria Luísa Ribeiro,1973-02-25,52,Masculino,Casado,Brasileira,Superior Completo,Recepcionista,7806.67,0.0,Não,8.1,19071-886,773,8054,Digital,2010-02-06,15.052703627652292,37226.35,0.0,30,396.96,Compra Crédito,Média,Não,,,,,,Mobile Banking,0.0,Neutro,38158.52,-2.44,11555.31,86.18,4,261498.73,2.68,Moderado,Média Renda,Sim,Sim,Sim,Não,41.73,0.5,79.99,64.2
8055,Lavínia da Paz,1966-02-26,58,Feminino,Casado,Outras,Ensino Fundamental,Advogado,,1.0,Não,6.4,11877-309,717,8055,Salário,2000-05-19,24.772073921971252,15461.6,0.0,11,419.66,Transferência,Baixa,Não,,,,,,Agência Física,0.0,Neutro,14946.36,3.45,5139.86,57.55,7,172923.97,1.71,Conservador,Varejo,Sim,Sim,Não,Não,78.92,0.4,100.0,79.5
8056,Juan Gomes,1985-02-25,40,Feminino,Divorciado,,Superior Completo,Vendedor,7804.26,0.0,Sim,13.9,74158-109,866,8056,Poupança,2011-01-11,14.124572210814511,84239.87,0.0,3,2398.0,Depósito,Alta,Sim,Imobiliário,3058486.23,0.68,360.0,Em Dia,Mobile Banking,0.0,Neutro,80725.35,4.35,11769.83,36.55,1,65752.19,1.08,Moderado,Alta Renda,Sim,Não,Não,Não,84.16,0.0,100.0,63.4
8057,Théo Vasconcelos,1988-02-26,36,Masculino,Casado,Brasileira,Ensino Médio,Advogado,4117.84,2.0,Sim,9.5,57218-199,706,8057,Poupança,2023-06-21,1.6837782340862424,42052.96,0.0,6,2351.09,Saque,Alta,Sim,Consignado,20360.0,2.16,48.0,Em Dia,Mobile Banking,0.0,Satisfeito,40262.43,4.45,11284.35,36.5,0,0.0,,Moderado,Média Renda,Sim,Sim,Não,Sim,62.83,4.0,100.0,91.4
8058,Letícia Pinto,1991-02-26,33,Masculino,Casado,Brasileira,Pós-Graduação,Professor,5432.52,1.0,Não,0.6,41986-491,742,8058,Salário,2018-12-22,6.179329226557153,45436.28,0.0,23,,Compra Crédito,Alta,Sim,Veículo,29030.55,1.78,48.0,Em Dia,Internet Banking,0.0,Satisfeito,47025.24,-3.38,13164.38,68.27,3,60018.99,2.75,Arrojado,Média Renda,Sim,Sim,Não,Não,50.5,0.3,100.0,76.7
8059,Natália Pacheco,1982-02-26,42,Feminino,Casado,Argentina,Ensino Médio,Professor,4776.77,3.0,Não,0.3,67712-129,688,8059,Corrente,2022-10-19,2.3545516769336072,4239.41,4115.79,21,,Compra Débito,Alta,Sim,Veículo,34518.66,1.29,72.0,Em Dia,Internet Banking,0.0,Neutro,5930.49,-28.51,12716.34,22.62,0,0.0,,Conservador,Média Renda,Sim,Sim,Sim,Não,41.66,1.3,62.5,66.3
8060,Dr. Enzo Gabriel Novais,1979-02-26,45,Masculino,Viúvo,Brasileira,,Enfermeiro,4006.78,1.0,Não,2.2,21230-792,691,8060,Corrente,2002-01-01,23.15126625598905,-2618.67,6201.17,24,332.78,Transferência,Alta,Não,,,,,,Agência Física,0.0,Neutro,-2311.88,13.27,4166.77,30.14,3,74363.53,1.83,Conservador,Média Renda,Sim,Não,Não,Não,98.58,0.7,53.16,59.6
8061,Dr. Lucas Porto,1976-02-26,48,Masculino,Solteiro,Brasileira,Ensino Médio,Estudante,4131.51,0.0,Sim,8.7,75606-325,748,8061,Salário,2005-07-16,19.613963039014372,23957.7,0.0,4,314.09,Pagamento de Boleto,Média,Não,,,,,,Mobile Banking,0.0,Neutro,24188.05,-0.95,4634.38,27.92,6,164754.01,1.77,Arrojado,Média Renda,Sim,Não,Não,Sim,32.98,0.0,35.05,42.7
8062,Dra. Marcela Sá,1990-02-26,34,Feminino,Casado,Brasileira,Superior Completo,Médico,5814.65,3.0,Sim,16.0,53160-504,704,8062,Poupança,2017-04-22,7.846680355920602,15262.54,0.0,9,1560.04,Transferência,Média,Não,,,,,,Mobile Banking,0.0,Neutro,14893.37,2.48,10331.32,22.95,1,33048.46,1.93,Moderado,Média Renda,Sim,Sim,Sim,Sim,76.78,0.2,45.56,53.0
8063,Carolina Moreira,1954-02-26,70,Masculino,Divorciado,Brasileira,Superior Completo,Aposentado,,0.0,Sim,17.1,52502-643,716,8063,Salário,1991-02-12,34.03696098562629,13420.06,0.0,14,248.79,Compra Débito,Alta,Não,,,,,,Internet Banking,0.0,Neutro,12889.55,4.12,13173.31,65.39,9,266613.04,1.82,Moderado,Varejo,Sim,Não,Não,Não,72.94,0.5,100.0,79.9
8064,Srta. Ana Júlia Cavalcanti,1994-02-26,30,Feminino,Casado,Brasileira,Ensino Médio,Médico,4577.62,2.0,Não,0.3,63357-519,753,8064,Poupança,2016-02-29,8.991101984941821,17106.02,0.0,3,2158.93,Saque,Alta,Sim,Pessoal,42402.4,2.7,36.0,Em Dia,Mobile Banking,0.0,Neutro,16711.04,2.36,9578.56,4.38,0,0.0,,Conservador,Média Renda,Sim,Não,Não,Não,94.84,0.1,58.63,54.3
8065,Brayan Macedo,1951-02-26,73,Feminino,Casado,Brasileira,,Enfermeiro,3860.31,1.0,Sim,,83894-500,787,8065,Salário,1972-05-19,52.772073921971256,70627.73,0.0,12,286.75,Transferência,Média,Sim,Consignado,38112.8,1.49,60.0,Em Dia,Internet Banking,0.0,Satisfeito,67807.85,4.16,12482.12,45.86,16,1043938.98,2.55,Moderado,Alta Renda,Sim,Sim,Não,Não,84.19,1.1,100.0,74.6
8066,Dra. Nicole Siqueira,2003-02-26,21,Feminino,Solteiro,Brasileira,Superior Completo,,4771.2,0.0,Não,,31305-766,701,8066,Corrente,2024-09-27,0.4134154688569473,12979.36,6499.21,29,238.73,Pagamento de Boleto,Média,Não,,,,,,,0.0,Insatisfeito,13587.76,-4.48,15722.62,39.22,0,0.0,,Arrojado,Média Renda,Sim,Sim,Não,Sim,70.63,1.3,91.94,79.8
8067,Ana Sophia Carvalho,1982-02-26,42,Masculino,Casado,Alemã,Ensino Fundamental,Professor,4719.93,2.0,Não,2.0,65789-545,720,8067,Salário,2011-12-22,13.180013689253936,16730.53,0.0,10,485.13,Saque,Baixa,Não,,,,,,Telefone,2.0,Muito Insatisfeito,16060.26,4.17,6076.91,11.81,3,130779.95,2.09,Conservador,Média Renda,Sim,Sim,Sim,Sim,47.81,0.1,24.97,40.8
8068,Vinícius Nogueira,1988-02-26,36,Masculino,Casado,Brasileira,Superior Incompleto,Gerente,8105.12,2.0,Sim,16.6,,811,8068,Poupança,2009-01-15,16.112251882272417,65906.49,0.0,6,1489.75,Depósito,Média,Não,,,,,,Agência Física,0.0,Neutro,64489.81,2.2,13601.4,12.96,1,35515.81,1.12,Conservador,Alta Renda,Sim,Sim,Não,Sim,86.55,0.0,35.49,36.6
8069,Rael Barros,1983-02-26,41,Feminino,Viúvo,Brasileira,Superior Completo,Autônomo,10865.96,,Sim,4.0,10015-578,717,8069,Corrente,2015-03-04,9.982203969883642,42059.78,15081.68,35,515.56,Saque,Alta,Sim,Consignado,102136.31,1.64,60.0,Em Atraso,Mobile Banking,0.0,,50187.57,-16.19,21279.05,51.29,4,496623.28,2.34,Arrojado,Alta Renda,Sim,Não,Sim,Sim,66.21,2.7,100.0,100.0
8070,Alice Farias,1978-02-26,46,Feminino,Casado,Brasileira,Ensino Médio,Engenheiro,2907.98,2.0,Sim,4.2,15167-849,717,8070,Corrente,2001-01-07,24.134154688569474,8334.47,4023.42,17,167.7,Pagamento de Boleto,Alta,Não,,,,,,Agência Física,0.0,Insatisfeito,7997.9,4.21,9269.42,22.83,5,64888.6,2.11,Conservador,Varejo,Sim,Não,Não,Não,53.21,1.2,52.08,57.9
8071,Vitória da Rosa,1984-02-26,40,Feminino,Casado,Brasileira,Ensino Fundamental,Motorista,3011.01,0.0,Não,4.9,88074-752,658,8071,Salário,2013-01-09,12.128678986995208,28957.15,0.0,13,196.25,Saque,Média,Não,,,,,,Mobile Banking,0.0,Satisfeito,29164.61,-0.71,5437.19,14.77,2,115267.36,1.97,Moderado,Média Renda,Sim,Sim,Sim,Não,73.98,1.5,32.49,54.9
8072,Lucas Brito,1985-02-25,40,Feminino,Casado,Brasileira,Ensino Médio,Aposentado,4903.08,0.0,Não,1.7,72921-818,716,8072,Corrente,2017-11-23,7.258042436687201,22258.13,4758.1,31,343.47,Saque,Baixa,Não,,,,,,Internet Banking,0.0,Neutro,21107.97,5.45,11086.51,41.36,4,175315.61,2.17,Conservador,Média Renda,Sim,Sim,Não,Não,75.34,8.2,76.08,91.0
8073,Gustavo Lima,1970-02-26,54,Feminino,Divorciado,Brasileira,Superior Completo,Autônomo,13477.73,0.0,Não,7.0,44172-247,793,8073,Corrente,1997-04-18,27.857631759069132,-3162.17,11784.65,46,681.08,Depósito,Alta,Não,,,,,,Agência Física,0.0,Insatisfeito,-4179.77,-24.35,26557.8,45.19,10,706224.75,1.67,Moderado,Alta Renda,Sim,Não,Sim,Não,82.23,0.3,96.59,69.9
8074,Eduarda Moreira,1973-02-25,52,Feminino,Divorciado,Brasileira,Superior Incompleto,Recepcionista,4101.99,0.0,Não,,95520-987,769,8074,Salário,1994-05-19,30.77344284736482,41721.74,0.0,8,528.75,Depósito,,Sim,Veículo,33605.8,1.55,60.0,Em Dia,Agência Física,2.0,,41446.88,0.66,5761.67,58.54,12,207015.7,2.24,Moderado,Média Renda,Sim,Sim,Não,Sim,85.5,0.4,91.04,69.8
8075,Stephany Caldeira,1964-02-26,60,Masculino,Solteiro,Brasileira,,Estudante,5349.12,0.0,Não,2.0,39068-819,780,8075,Corrente,1987-03-17,37.946611909650926,12267.77,6087.38,23,238.19,Transferência,Média,Não,,,,,,Agência Física,1.0,Neutro,9642.22,27.23,6806.87,25.4,16,691817.04,1.6,Moderado,Média Renda,Sim,Não,Não,Não,92.32,0.5,59.28,53.1
8076,Fernando Silveira,1991-02-26,33,Feminino,Casado,Brasileira,Ensino Fundamental,Motorista,2663.71,1.0,Não,0.4,33014-673,664,8076,Salário,2015-03-14,9.95482546201232,6319.88,0.0,13,435.88,Saque,Alta,Não,,,,,,Agência Física,0.0,Satisfeito,6312.8,0.11,5451.93,47.29,3,40171.84,2.11,Conservador,Varejo,Sim,Não,Não,Não,68.81,5.8,91.79,96.9
8077,Arthur Costela,1977-02-25,48,Feminino,Casado,,Superior Completo,Analista,10334.74,2.0,Não,,16162-296,799,8077,Corrente,1999-01-25,26.086242299794662,21600.2,13226.14,53,660.68,Pagamento de Boleto,Baixa,Não,,,,,,Agência Física,0.0,Satisfeito,25386.82,-14.92,24520.14,40.15,11,461682.97,2.56,Moderado,Alta Renda,Sim,Não,Sim,Sim,82.5,0.4,80.74,61.7
8078,Sarah Fernandes,1978-02-26,46,Masculino,Divorciado,Brasileira,Superior Completo,Engenheiro,13989.52,1.0,Sim,3.3,90463-867,867,8078,Corrente,2015-06-21,9.683778234086242,18838.97,15234.0,47,1817.08,Depósito,Alta,Sim,Veículo,131379.23,1.46,36.0,Em Dia,Internet Banking,2.0,,15792.63,19.29,30966.28,8.34,0,0.0,,Moderado,Alta Renda,Sim,Sim,Sim,Sim,83.82,0.3,74.09,51.2
8079,Zoe Camargo,1986-02-26,38,Feminino,Casado,Brasileira,Ensino Médio,Autônomo,6988.99,3.0,Sim,20.0,83223-220,781,8079,Salário,2009-05-27,15.75085557837098,8967.47,0.0,13,724.84,Saque,,Não,,,,,,Mobile Banking,1.0,Neutro,9037.78,-0.78,15476.18,51.63,3,312036.99,1.66,Arrojado,Média Renda,Sim,Não,Não,Sim,86.01,0.4,100.0,73.1
8080,Joaquim Pimenta,1982-02-26,42,Feminino,Casado,Brasileira,Superior Incompleto,Comerciante,5205.46,3.0,Sim,8.0,39286-967,743,8080,Poupança,2017-11-19,7.268993839835729,39031.02,0.0,4,1773.61,Depósito,Baixa,Não,,,,,,Mobile Banking,0.0,Neutro,37702.25,3.52,14114.8,57.14,3,26423.83,1.74,Moderado,Média Renda,Sim,Sim,Não,Não,57.93,0.0,91.7,71.6
8081,Zoe Barros,1988-02-26,36,Masculino,Solteiro,Brasileira,Superior Completo,Professor,12407.86,0.0,Sim,6.3,26994-300,781,8081,Poupança,2024-12-11,0.2080766598220397,100523.74,0.0,11,4448.37,Depósito,Média,Não,,,,,,Internet Banking,0.0,Neutro,99827.03,0.7,20878.42,57.37,0,0.0,,Moderado,Alta Renda,Não,Sim,Sim,Sim,,,17.22,30.5
8082,Lucca Oliveira,1995-02-26,29,Outro,Casado,Brasileira,Superior Incompleto,Advogado,10577.91,1.0,Não,3.1,41369-580,716,8082,Corrente,2023-10-17,1.3607118412046544,18535.81,13617.27,26,1033.65,Pagamento de Boleto,Alta,Não,,,,,,Telefone,0.0,Neutro,16899.76,9.68,16606.58,32.21,0,0.0,,Arrojado,Alta Renda,Sim,Sim,Não,Não,57.06,1.7,57.16,62.1
8083,Antônio Sousa,1992-02-26,32,Masculino,Solteiro,Brasileira,Superior Incompleto,Enfermeiro,3593.18,0.0,Não,5.1,65847-134,650,8083,Poupança,2023-08-14,1.5359342915811087,5035.37,0.0,6,1593.88,Depósito,Média,Não,,,,,,Internet Banking,0.0,Insatisfeito,4875.54,3.28,5852.31,54.31,0,0.0,,Conservador,Varejo,Sim,Não,Não,Não,72.84,2.4,86.21,85.3
8084,Eloah Caldeira,1997-02-25,28,Masculino,Viúvo,Brasileira,Ensino Médio,Vendedor,2401.15,0.0,Não,2.2,79028-231,646,8084,Poupança,2020-05-09,4.799452429842574,8654.76,0.0,4,952.99,Saque,Média,Não,,,,,,,0.0,Neutro,8361.68,3.51,5726.55,66.8,0,0.0,,Moderado,Varejo,Sim,Não,Não,Não,98.4,1.4,100.0,89.6
8085,Nina Oliveira,1973-02-25,52,Feminino,Casado,Brasileira,Pós-Graduação,Técnico,12529.55,,Sim,26.2,58560-139,863,8085,Corrente,1995-09-19,29.437371663244353,123364.26,17397.27,34,701.93,Depósito,Alta,Não,,,,,,Agência Física,0.0,Neutro,99893.22,23.5,40510.86,6.59,8,415089.89,0.81,Arrojado,Alta Renda,Sim,Não,Não,Sim,89.3,0.2,34.31,31.5
8086,Léo Dias,1974-02-26,50,Masculino,Casado,Brasileira,Superior Incompleto,Professor,7722.21,1.0,Não,5.2,36940-224,666,8086,Corrente,2015-02-13,10.03422313483915,94521.96,8124.32,37,441.97,Compra Débito,Média,Sim,Pessoal,66183.88,3.43,12.0,Em Atraso,Agência Física,3.0,Insatisfeito,116264.99,-18.7,19104.91,54.97,5,75239.33,2.26,Moderado,Alta Renda,Sim,Sim,Não,Sim,60.7,2.5,100.0,100.0
8087,Otávio Lima,1953-02-25,72,Feminino,Viúvo,Brasileira,Ensino Médio,Autônomo,4566.94,0.0,Sim,54.0,76577-230,710,8087,Salário,1973-06-09,51.715263518138265,52835.58,0.0,15,752.19,Transferência,Baixa,Não,,,,,,Internet Banking,0.0,Satisfeito,52100.91,1.41,5602.68,43.14,19,621133.91,1.82,Conservador,Alta Renda,Sim,Sim,Sim,Não,21.01,3.1,32.28,54.4
8088,Giovanna Câmara,1971-02-26,53,Masculino,Casado,Brasileira,Superior Completo,Analista,,1.0,Sim,35.0,88189-703,893,8088,Salário,2015-04-12,9.875427789185489,25676.45,0.0,25,1385.35,Pagamento de Boleto,Média,Sim,Veículo,123992.46,1.91,60.0,Em Dia,Internet Banking,0.0,Satisfeito,24327.79,5.54,41377.95,16.42,2,46755.15,0.85,Moderado,Private,Sim,Sim,Sim,Não,98.89,0.1,88.27,55.1
8089,Sr. Levi Souza,2000-02-26,24,Feminino,Solteiro,Brasileira,Ensino Médio,Professor,2369.26,0.0,Não,0.3,10342-829,726,8089,Poupança,2019-12-16,5.196440793976728,42526.62,0.0,4,1152.41,Saque,,Sim,Veículo,25817.26,1.5,72.0,Em Dia,Mobile Banking,0.0,Satisfeito,41230.33,3.14,4855.91,45.95,1,19634.37,2.26,Arrojado,Média Renda,Sim,Não,Não,Não,94.06,0.5,100.0,78.9
8090,Zoe Sá,1960-02-26,64,Feminino,Viúvo,,Ensino Médio,Gerente,8720.05,0.0,Não,14.2,94440-496,763,8090,Digital,2006-10-19,18.354551676933607,13674.58,0.0,39,1758.71,Transferência,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,14535.74,-5.92,20828.37,49.65,8,318474.41,2.75,Moderado,Alta Renda,Sim,Sim,Não,Não,82.83,0.3,100.0,74.6
8091,Ravi Souza,1962-02-26,62,Feminino,Divorciado,,Superior Completo,Empresário,,1.0,Sim,2.0,53753-681,783,8091,Premium,2018-11-08,6.299794661190965,496444.62,63512.43,58,,Compra Crédito,Alta,Não,,,,,,Internet Banking,0.0,Insatisfeito,467915.67,6.1,101667.89,67.25,6,1125619.29,2.32,Conservador,Private,Sim,Sim,Sim,Sim,83.32,0.1,91.33,67.7
8092,Liam Correia,1984-02-26,40,Feminino,Divorciado,Brasileira,Pós-Graduação,Contador,15737.64,1.0,Sim,9.6,63542-322,892,8092,Premium,2008-03-06,16.974674880219027,222796.52,48015.76,47,2208.65,Pagamento de Boleto,Média,Não,,,,,,Internet Banking,0.0,Neutro,215654.33,3.31,103682.88,33.52,5,314702.49,1.41,Arrojado,Private,Sim,Sim,Não,Sim,59.5,0.2,100.0,61.4
8093,Miguel Almeida,1978-02-26,46,Feminino,Casado,Brasileira,Superior Completo,Enfermeiro,9814.17,0.0,Sim,10.4,25208-448,846,8093,Corrente,2016-04-03,8.898015058179329,15721.9,12430.05,43,761.77,Saque,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,14116.07,11.38,18947.54,24.38,1,43691.12,1.01,Arrojado,Alta Renda,Sim,Não,Não,Sim,69.67,0.8,55.24,45.4
8094,Dra. Camila Campos,1949-02-25,76,Masculino,Solteiro,Brasileira,Superior Completo,Motorista,7357.76,1.0,Sim,57.5,29398-789,844,8094,Corrente,1976-07-17,48.610540725530456,18920.95,8379.47,31,1378.41,Compra Crédito,,Sim,Veículo,105011.04,1.86,48.0,Em Dia,Mobile Banking,0.0,Neutro,17864.42,5.91,21315.63,13.81,13,359447.23,0.85,Moderado,Média Renda,Sim,Sim,Não,Sim,84.68,0.9,70.84,53.7
8095,Isabella Viana,1980-02-26,44,Feminino,Viúvo,Brasileira,Ensino Fundamental,Gerente,3087.09,0.0,Sim,13.2,48511-598,770,8095,Poupança,2000-04-12,24.87337440109514,207095.09,0.0,4,2306.68,Transferência,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,196748.66,5.26,9366.02,66.71,5,76571.92,1.83,Arrojado,Alta Renda,Não,Sim,Não,Não,,,16.68,31.3
8096,Anna Liz Albuquerque,1958-02-26,66,Feminino,Casado,Brasileira,,Aposentado,1761.3,0.0,Sim,15.6,34583-183,736,8096,Corrente,2013-01-25,12.084873374401095,-897.74,2280.73,10,164.1,Compra Débito,Média,Não,,,,,,Agência Física,0.0,Neutro,-782.99,14.66,5584.26,63.71,7,31674.52,1.7,Conservador,Varejo,Sim,Não,Não,Não,95.08,1.4,100.0,80.6
8097,Vitor Cardoso,1998-02-26,26,Masculino,Casado,Brasileira,Superior Completo,Engenheiro,6524.91,4.0,Não,,62863-848,713,8097,Poupança,2017-03-21,7.9342915811088295,35392.15,0.0,4,3370.28,Depósito,,Não,,,,,,Agência Física,0.0,Neutro,34762.35,1.81,18145.06,48.02,0,0.0,,Moderado,Média Renda,Sim,Não,Não,Não,86.15,1.7,100.0,83.8
8098,Olívia das Neves,1993-02-25,32,Feminino,Casado,,Ensino Médio,Professor,7350.51,,Não,6.7,97476-974,719,8098,Corrente,2022-07-15,2.617385352498289,33847.98,11139.37,34,,Transferência,Média,Não,,,,,,Agência Física,0.0,Neutro,32116.03,5.39,20043.28,45.04,0,0.0,,Moderado,Média Renda,Não,Sim,Não,Sim,,,22.8,39.5
8099,Levi Ferreira,1984-02-26,40,Masculino,Casado,Brasileira,Superior Completo,Estudante,21202.12,2.0,Sim,2.6,99386-554,896,8099,Premium,2006-09-24,18.42299794661191,226523.17,42554.02,53,5151.9,Pagamento de Boleto,Alta,Sim,Veículo,167473.15,1.5,60.0,Em Dia,Mobile Banking,2.0,Insatisfeito,196964.51,15.01,126611.8,6.23,4,335270.54,1.06,Moderado,Private,Sim,Sim,Sim,Não,90.53,0.2,77.59,49.8
