Nome_Completo,Data_Nascimento,Idade,Genero,Estado_Civil,Nacionalidade,Nivel_Educacional,Profissao,Renda_Mensal,Numero_Dependentes,Residencia_Propria,Tempo_Residencia_Anos,CEP,Score_Credito,Tipo_Conta,Data_Abertura_Conta,Tempo_Relacionamento_Anos,Saldo_Atual,Limite_Cheque_Especial,Numero_Transacoes_Mes_Media,Valor_Transacao_Media,Tipo_Transacao_Mais_Comum,Frequencia_Transacoes_Online,Tem_Emprestimo_Ativo,Tipo_Emprestimo,Valor_Emprestimo,Taxa_Juros_Emprestimo,Prazo_Emprestimo_Meses,Status_Emprestimo,Canais_Utilizados,Numero_Reclamacoes_Ultimo_Ano,Satisfacao_Cliente,Saldo_Anterior_3M,Variacao_Saldo_Percentual_3M,Limite_Cartao_Credito,Utilizacao_Credito_Percentual,Numero_Emprestimos_Anteriores,Valor_Total_Emprestimos_Anteriores,Taxa_Media_Emprestimos_Anteriores,Perfil_Investidor,Segmento_Banco,Possui_Cartao_Credito,Possui_Seguro_Vida,Possui_Previdencia,Possui_Investimentos,Percentual_Pagamento_Fatura,Atraso_Medio_Pagamentos_Dias,Percentual_Comprometimento_Renda,Risco_Inadimplencia
Gabriel Pereira,1965-02-25,60,Masculino,Viúvo,Brasileira,Superior Incompleto,Gerente,6725.26,1.0,Sim,,34102-293,776,Corrente,2017-11-29,7.241615331964408,2485.01,6486.18,25,427.22,Pagamento de Boleto,Alta,Não,,,,,,Mobile Banking,1.0,,2790.48,-10.95,21005.11,17.18,3,156111.88,1.98,Moderado,Média Renda,Sim,Não,Não,Não,73.58,0.5,71.19,0
Maria Cecília Ramos,1965-02-25,60,Masculino,Viúvo,Brasileira,Ensino Fundamental,Médico,2990.3,0.0,Não,2.8,97596-895,641,Salário,1993-11-05,31.307323750855577,32345.19,0.0,12,265.91,Depósito,Média,Sim,Pessoal,16123.94,2.51,48.0,Em Atraso,Agência Física,0.0,Insatisfeito,31694.72,2.05,4230.56,92.07,6,99998.32,4.42,Moderado,Média Renda,Sim,Não,Não,Não,64.18,10.5,100.0,1
Maria Helena Araújo,1965-02-25,60,Feminino,Casado,Brasileira,Ensino Médio,Contador,3013.27,0.0,Não,3.0,95402-280,644,Corrente,2023-02-02,2.0643394934976045,11430.19,4166.87,16,,Pagamento de Boleto,Média,Não,,,,,,Agência Física,0.0,Insatisfeito,10293.94,11.04,4717.55,50.26,1,6732.55,4.01,Moderado,Varejo,Sim,Não,Sim,Não,79.92,2.1,90.7,1
Clara Moura,1965-02-25,60,Feminino,Casado,Brasileira,Superior Incompleto,Contador,4719.7,1.0,Sim,,19036-989,708,Corrente,1995-03-04,29.98220396988364,9076.04,4797.37,35,1227.1,Saque,Média,Não,,,,,,Internet Banking,0.0,Satisfeito,13436.8,-32.45,15197.72,72.33,5,213885.38,2.57,Conservador,Média Renda,Sim,Sim,Não,Não,71.08,0.1,100.0,1
Ravy Peixoto,1965-02-25,60,Masculino,Casado,Brasileira,Superior Completo,Comerciante,7007.05,2.0,Sim,9.9,47227-239,797,Salário,1988-06-28,36.662559890485966,54367.07,0.0,13,721.64,Compra Crédito,Média,Não,,,,,,,0.0,Neutro,53242.65,2.11,10765.73,28.57,5,162367.18,2.49,Arrojado,Alta Renda,Sim,Sim,Sim,Não,77.34,0.3,62.62,0
Benicio Freitas,1965-02-25,60,Masculino,Casado,Brasileira,Ensino Fundamental,Empresário,,2.0,Não,3.1,39432-209,708,Salário,2017-06-22,7.679671457905544,20686.41,0.0,19,1041.36,Transferência,Média,Não,,,,,,Internet Banking,0.0,Insatisfeito,22293.92,-7.21,10082.47,55.32,4,394840.17,2.56,Moderado,Média Renda,Sim,Não,Não,Não,67.96,0.8,68.3,0
Dra. Nicole Montenegro,1965-02-25,60,Feminino,Casado,Brasileira,Ensino Médio,Professor,3220.3,1.0,Não,8.3,22799-966,704,Poupança,2003-06-24,21.675564681724847,39106.82,0.0,7,792.58,Depósito,Média,Não,,,,,,Internet Banking,0.0,Neutro,37866.48,3.28,8531.97,58.2,8,187758.17,2.58,Moderado,Média Renda,Sim,Não,Sim,Não,90.76,0.5,100.0,1
Enrico Sales,1965-02-25,60,Masculino,Divorciado,Brasileira,Ensino Médio,Comerciante,3509.67,0.0,Sim,5.4,99055-587,761,Salário,2004-06-04,20.72826830937714,8782.54,0.0,8,254.95,Saque,Alta,Não,,,,,,Mobile Banking,,,9224.51,-4.79,9756.73,20.04,9,106304.41,2.03,Conservador,Varejo,Sim,Sim,Sim,Não,88.65,0.3,78.11,0
Gael Machado,1965-02-25,60,Masculino,Casado,Brasileira,Ensino Médio,Enfermeiro,4452.14,3.0,Sim,11.6,27083-453,766,Corrente,2009-12-16,15.19507186858316,13064.94,4581.44,27,,Transferência,Baixa,Sim,Veículo,34902.18,1.71,72.0,Em Dia,Telefone,3.0,Muito Insatisfeito,11984.83,9.01,6844.13,9.21,7,339810.59,1.89,Arrojado,Média Renda,Sim,Não,Não,Não,83.31,0.0,42.94,0
Bento Pacheco,1965-02-25,60,Masculino,Casado,Brasileira,,Comerciante,5272.89,,Não,3.7,57800-802,805,Poupança,1985-02-04,40.05749486652977,30598.72,0.0,8,1822.25,Depósito,Média,Sim,Veículo,61833.51,1.12,60.0,Em Dia,Internet Banking,0.0,Neutro,29039.63,5.37,7464.44,49.77,11,333785.63,0.85,Arrojado,Média Renda,Sim,Não,Não,Sim,86.19,0.3,82.71,0
Marcelo Mendes,1965-02-25,60,Masculino,Solteiro,Argentina,Ensino Fundamental,Estudante,,0.0,Sim,5.6,61227-714,746,Corrente,2009-03-16,15.94798083504449,4344.52,5791.37,29,622.17,Compra Crédito,Alta,Não,,,,,,Mobile Banking,,Insatisfeito,4770.17,-8.92,6651.27,47.78,6,194080.13,1.51,Moderado,Varejo,Sim,Sim,Não,Não,66.67,0.6,60.25,0
Maria Liz da Luz,1965-02-25,60,Masculino,Solteiro,,Ensino Médio,Motorista,5063.42,1.0,Sim,11.3,28846-198,763,Corrente,1984-02-08,41.04859685147159,20342.22,7840.19,23,1191.05,Pagamento de Boleto,Alta,Não,,,,,,Agência Física,0.0,Neutro,22398.28,-9.18,11577.76,60.35,14,1008277.1,2.25,Conservador,Média Renda,Sim,Sim,Não,Não,81.54,0.3,100.0,1
Ana Liz da Cruz,1965-02-25,60,Feminino,Divorciado,Brasileira,Superior Completo,Recepcionista,11504.57,1.0,Sim,16.5,25285-974,783,Corrente,1998-07-19,26.60643394934976,36590.66,12479.46,44,859.44,Compra Débito,Média,Não,,,,,,Agência Física,0.0,Neutro,36403.1,0.52,17632.98,25.0,10,447337.35,2.08,Moderado,Alta Renda,Sim,Sim,Sim,Sim,51.86,0.3,47.57,0
Lunna da Rocha,1965-02-25,60,Masculino,Casado,Brasileira,Superior Completo,Autônomo,10808.17,1.0,Sim,,23908-509,771,Salário,2008-06-20,16.684462696783026,80480.65,0.0,45,1062.27,Pagamento de Boleto,,Não,,,,,,Agência Física,0.0,Neutro,78791.13,2.14,22857.7,44.05,5,183284.27,2.79,Moderado,Alta Renda,Sim,Sim,Sim,Sim,98.39,0.5,94.69,1
Luiz Fernando Fonseca,1965-02-25,60,Masculino,Casado,Brasileira,Superior Completo,Recepcionista,21115.64,0.0,Sim,20.7,82800-652,846,Digital,1997-01-10,28.12594113620808,33053.66,0.0,41,1319.96,Compra Crédito,Alta,Não,,,,,,,0.0,Neutro,32324.28,2.26,55620.23,38.52,7,1615473.39,1.12,Moderado,Private,Sim,Não,Não,Não,67.26,0.3,100.0,0
Heloisa Vieira,1965-02-25,60,Masculino,Solteiro,Brasileira,Ensino Médio,Estudante,4666.05,0.0,Sim,13.3,,757,Corrente,2005-03-05,19.978097193702943,25907.16,6424.74,32,574.69,Transferência,Alta,Não,,,,,,Internet Banking,0.0,Neutro,28282.24,-8.4,11447.5,53.7,7,501313.55,1.73,Moderado,Média Renda,Sim,Não,Não,Sim,76.91,0.0,100.0,1
Anthony Guerra,1965-02-25,60,Masculino,Casado,Brasileira,Pós-Graduação,Autônomo,8303.65,1.0,Não,7.3,40618-881,766,Premium,1992-10-03,32.39698836413415,52476.4,20531.22,63,2849.29,Transferência,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,47911.62,9.53,38370.12,50.6,10,488746.98,2.06,Arrojado,Private,Sim,Sim,Sim,Não,75.85,0.0,100.0,1
Nicole Sousa,1965-02-25,60,Feminino,Solteiro,Brasileira,Ensino Médio,Comerciante,3224.52,0.0,Sim,19.4,88507-141,732,Poupança,2013-08-25,11.50444900752909,44633.38,0.0,3,777.4,Transferência,Alta,Não,,,,,,Agência Física,1.0,Insatisfeito,43305.42,3.07,7868.2,54.91,7,85896.54,2.58,Moderado,Média Renda,Sim,Sim,Não,Sim,28.31,3.3,37.29,0
Aurora Peixoto,1965-02-25,60,Feminino,Divorciado,Brasileira,Superior Completo,Vendedor,12640.04,0.0,Sim,5.3,91769-716,825,Poupança,2022-08-08,2.5516769336071183,83278.04,0.0,8,4456.89,Depósito,Média,Sim,Veículo,169655.79,1.2,48.0,Em Dia,Agência Física,0.0,Satisfeito,82047.48,1.5,25804.31,7.86,2,231919.16,1.33,Conservador,Alta Renda,Sim,Sim,Sim,Sim,74.47,0.3,52.93,0
Júlia Sampaio,1965-02-25,60,Masculino,Viúvo,Brasileira,,Aposentado,9535.52,0.0,Sim,13.2,52729-987,855,Digital,1989-09-26,35.41683778234086,50454.33,0.0,33,983.42,Transferência,Alta,Sim,Veículo,124747.58,1.88,60.0,Em Dia,Mobile Banking,0.0,Satisfeito,52169.52,-3.29,19429.33,14.1,12,1297498.58,1.19,Arrojado,Alta Renda,Sim,Sim,Sim,Sim,90.87,0.7,58.57,0
Marina Fernandes,1965-02-25,60,Feminino,Casado,Brasileira,Ensino Fundamental,Aposentado,2512.16,0.0,Não,9.6,55152-624,719,Corrente,1983-06-21,41.68377823408624,9910.2,2601.52,28,234.56,Compra Crédito,Alta,Não,,,,,,Internet Banking,0.0,Neutro,9851.12,0.6,6010.02,24.79,12,149702.57,1.57,Conservador,Varejo,Sim,Não,Não,Não,53.45,1.2,58.22,0
Luiz Miguel da Costa,1965-02-25,60,Feminino,Casado,Brasileira,Ensino Fundamental,Empresário,12381.28,1.0,Sim,7.0,52247-556,801,Premium,1997-05-23,27.761806981519506,852007.06,25990.16,68,2791.95,Compra Débito,Baixa,Não,,,,,,Mobile Banking,1.0,Muito Insatisfeito,795037.12,7.17,55316.01,44.78,9,513075.98,1.02,Arrojado,Private,Sim,Não,Não,Sim,80.65,0.1,100.0,1
Alexia Caldeira,1965-02-25,60,Masculino,Viúvo,Brasileira,Superior Completo,Analista,11546.47,0.0,Sim,5.7,50216-268,912,Corrente,2006-05-28,18.748802190280628,100570.09,10774.88,53,1748.15,Pagamento de Boleto,Baixa,Sim,Pessoal,97636.57,3.04,48.0,Em Dia,Agência Física,0.0,Satisfeito,88348.89,13.83,24765.27,22.97,5,2318208.82,1.16,Moderado,Alta Renda,Não,Sim,Não,Não,,,36.32,0
Maysa Vieira,1965-02-25,60,Feminino,Casado,,Superior Incompleto,Recepcionista,7776.49,0.0,Sim,5.8,24879-674,657,Salário,2024-09-03,0.4791238877481177,10259.1,0.0,18,1099.21,Saque,Baixa,Sim,Veículo,61328.91,1.66,60.0,Em Atraso,Mobile Banking,3.0,Muito Insatisfeito,10690.82,-4.04,8349.73,58.6,6,469715.49,2.45,Arrojado,Média Renda,Sim,Sim,Sim,Sim,94.74,0.1,96.8,1
João Miguel Correia,1965-02-25,60,Masculino,Divorciado,Brasileira,Pós-Graduação,Engenheiro,18463.77,1.0,Sim,18.3,65549-336,835,Poupança,1998-05-09,26.80082135523614,779030.34,0.0,13,2506.17,Saque,Alta,Não,,,,,,Agência Física,,Neutro,743395.9,4.79,29057.48,57.24,7,1217821.04,0.91,Moderado,Private,Sim,Sim,Sim,Sim,88.85,0.0,96.81,0
Julia Melo,1965-02-25,60,Masculino,Casado,Brasileira,Ensino Fundamental,Contador,3797.21,2.0,Sim,8.8,20437-496,731,Corrente,2006-11-08,18.299794661190965,53461.27,4663.96,20,558.58,Pagamento de Boleto,Média,Não,,,,,,Internet Banking,2.0,Insatisfeito,66081.87,-19.1,5065.35,14.55,2,28790.86,1.56,Arrojado,Alta Renda,Sim,Não,Sim,Sim,59.22,0.1,33.51,0
Leonardo Silva,1965-02-25,60,Masculino,Casado,Portuguesa,Ensino Médio,Comerciante,5983.67,1.0,Sim,36.5,55959-270,752,Corrente,2006-09-22,18.428473648186174,53832.52,9303.95,32,,Compra Débito,Média,Não,,,,,,Agência Física,0.0,,56496.33,-4.72,15810.69,55.66,6,163871.49,1.68,Moderado,Alta Renda,Sim,Sim,Não,Sim,85.16,0.1,100.0,1
Ana Laura Lopes,1965-02-25,60,Masculino,Solteiro,Brasileira,Ensino Médio,Contador,6736.65,0.0,Sim,37.5,89242-466,873,Salário,2013-03-07,11.97262149212868,72339.12,0.0,17,1436.09,Pagamento de Boleto,Média,Sim,Pessoal,42759.16,2.09,24.0,Em Dia,Agência Física,1.0,Neutro,69727.69,3.75,14758.7,26.14,7,286648.62,0.95,Conservador,Alta Renda,Sim,Sim,Não,Sim,89.02,1.6,100.0,0
Luiza Caldeira,1965-02-25,60,Feminino,Divorciado,Brasileira,Ensino Médio,Comerciante,3433.7,0.0,Sim,,75450-832,723,Poupança,2008-02-08,17.048596851471594,74727.31,0.0,3,1176.36,Transferência,Alta,Não,,,,,,Agência Física,0.0,Neutro,72669.73,2.83,5535.98,52.52,10,186504.03,2.13,Moderado,Alta Renda,Sim,Não,Não,Não,64.61,0.5,87.74,1
Ana Lívia Rezende,1965-02-25,60,Feminino,Casado,Brasileira,,Professor,2670.12,0.0,Não,6.4,33866-403,671,Corrente,1995-07-02,29.65366187542779,44710.42,3142.47,22,754.07,Compra Débito,Baixa,Não,,,,,,Mobile Banking,2.0,,40211.78,11.19,4080.62,12.76,9,65768.58,2.36,Arrojado,Média Renda,Sim,Sim,Não,Não,86.02,1.7,36.48,0
Srta. Emanuella da Costa,1965-02-25,60,Feminino,Viúvo,Brasileira,Ensino Médio,Contador,4568.47,1.0,Sim,25.8,39658-168,800,Corrente,2015-12-31,9.155373032169749,3705.46,5124.84,36,369.28,Compra Crédito,Média,Sim,Veículo,40537.19,1.52,72.0,Em Dia,Agência Física,0.0,Neutro,4248.56,-12.78,7161.73,11.75,2,63789.54,2.1,Moderado,Média Renda,Sim,Não,Não,Não,93.29,0.2,53.17,0
Dr. Antony Novaes,1965-02-25,60,Masculino,Viúvo,Brasileira,Ensino Fundamental,Professor,,,Não,1.2,50807-171,703,Salário,1984-01-29,41.07597535934291,7220.65,0.0,10,,Compra Crédito,Média,Não,,,,,,Agência Física,0.0,Neutro,6961.58,3.72,6842.04,23.97,15,392214.34,2.4,Conservador,Varejo,Sim,Não,Não,Não,69.34,5.9,77.5,1
Maria Liz Rodrigues,1965-02-25,60,Masculino,Viúvo,Brasileira,Ensino Médio,Advogado,5896.33,0.0,Não,10.3,80511-792,809,Corrente,1985-02-19,40.0164271047228,30553.08,6173.5,32,900.36,Compra Débito,Alta,Sim,Imobiliário,2435773.05,0.68,360.0,Em Dia,Agência Física,0.0,Neutro,28503.27,7.19,11769.07,16.8,13,199341.79,1.25,Arrojado,Média Renda,Sim,Não,Não,Sim,91.68,0.7,100.0,1
Lívia Mendes,1965-02-25,60,Masculino,Casado,Brasileira,Pós-Graduação,Enfermeiro,12044.42,0.0,Sim,9.8,56179-378,805,Salário,2000-06-22,24.67898699520876,71925.08,0.0,30,1950.99,Pagamento de Boleto,Média,Não,,,,,,Internet Banking,3.0,Muito Insatisfeito,73305.87,-1.88,50537.79,53.92,5,319424.21,1.17,Conservador,Alta Renda,Sim,Sim,Não,Não,95.27,0.6,100.0,1
Pedro Lucas Pimenta,1965-02-25,60,Feminino,Solteiro,Brasileira,,Professor,3982.64,0.0,Não,10.2,13172-341,708,Corrente,2000-09-21,24.42984257357974,9078.82,4206.19,34,,Pagamento de Boleto,Alta,Não,,,,,,Internet Banking,0.0,Neutro,11155.79,-18.62,4847.9,17.15,8,306105.72,1.57,Conservador,Varejo,Sim,Não,Não,Não,94.16,0.4,40.14,0
Mariane Pereira,1965-02-25,60,Masculino,Casado,Brasileira,Ensino Médio,Autônomo,5199.21,1.0,Sim,15.7,28672-843,799,Poupança,1985-04-15,39.865845311430526,121477.19,0.0,6,3143.55,Depósito,Alta,Não,,,,,,Agência Física,2.0,,116842.52,3.97,10597.94,17.12,13,421235.8,2.11,Arrojado,Alta Renda,Sim,Sim,Não,Não,45.15,0.7,38.08,0
Yasmin Guerra,1965-02-25,60,Masculino,Casado,Brasileira,Ensino Médio,Técnico,7666.31,2.0,Sim,12.1,71086-204,847,Digital,1999-06-29,25.661875427789184,46443.53,0.0,27,737.93,Depósito,,Não,,,,,,Agência Física,0.0,Neutro,44290.22,4.86,30970.49,28.98,8,299061.18,1.16,Arrojado,Média Renda,Sim,Sim,Não,Sim,95.22,0.2,100.0,0
Joaquim Duarte,1965-02-25,60,Masculino,Divorciado,Portuguesa,,Empresário,3770.03,0.0,Não,2.3,46740-942,715,Salário,1987-07-30,37.57700205338809,33346.82,0.0,14,309.23,Transferência,Média,Não,,,,,,Internet Banking,0.0,Neutro,34296.34,-2.77,9751.12,36.02,8,292152.12,2.5,Arrojado,Média Renda,Sim,Não,Não,Sim,60.01,1.6,90.08,1
Ana Vitória Albuquerque,1965-02-25,60,Feminino,Solteiro,Brasileira,Ensino Médio,Engenheiro,6170.25,0.0,Sim,,29623-892,835,Salário,2014-06-29,10.661190965092402,58294.36,0.0,17,857.56,Depósito,Alta,Não,,,,,,,0.0,Neutro,57846.69,0.77,21477.49,15.13,3,411301.91,0.94,Moderado,Alta Renda,Sim,Não,Não,Não,84.67,0.8,67.16,0
Dra. Stephany Vargas,1965-02-25,60,Feminino,Casado,Brasileira,Superior Incompleto,Contador,4423.93,0.0,Não,6.1,53978-908,703,Corrente,2008-01-14,17.117043121149898,25530.13,4757.56,32,278.89,Pagamento de Boleto,Média,Não,,,,,,,0.0,Neutro,20818.01,22.63,11537.52,26.04,4,55207.99,2.02,Conservador,Média Renda,Sim,Não,Sim,Não,91.35,4.2,94.01,1
Sr. Davi Lucas Jesus,1965-02-25,60,Feminino,Casado,Brasileira,Pós-Graduação,Aposentado,12629.34,2.0,Sim,15.3,94393-505,826,Premium,2015-09-20,9.43463381245722,198813.44,36503.0,57,3790.15,Saque,Média,Não,,,,,,Agência Física,0.0,Neutro,184700.04,7.64,98668.93,27.37,2,110555.44,1.27,Moderado,Private,Sim,Não,Sim,Não,87.38,1.0,100.0,1
Joana Costa,1965-02-25,60,Masculino,Casado,Brasileira,Ensino Fundamental,Aposentado,2634.37,2.0,Sim,42.0,78984-769,711,Corrente,1996-02-29,28.99110198494182,75238.91,2618.17,22,,Pagamento de Boleto,Média,Não,,,,,,Agência Física,0.0,Neutro,73425.4,2.47,8180.36,34.65,6,249530.56,1.75,Arrojado,Alta Renda,Sim,Sim,Não,Não,67.18,3.7,100.0,1
Luiz Henrique Novaes,1965-02-25,60,Masculino,Solteiro,Brasileira,Superior Incompleto,Enfermeiro,5057.96,1.0,Não,0.5,95899-672,770,Corrente,1991-10-21,33.34976043805612,-58.42,7096.91,22,606.98,Saque,Alta,Não,,,,,,Agência Física,2.0,,-56.96,2.57,10972.64,43.77,10,182190.81,2.3,Conservador,Média Renda,Sim,Sim,Não,Não,88.6,1.5,100.0,1
Sra. Lunna Rocha,1965-02-25,60,Masculino,Casado,Brasileira,Superior Completo,Engenheiro,6734.45,1.0,Sim,24.2,27750-842,711,Digital,2022-12-03,2.2313483915126624,19651.88,0.0,18,976.38,Saque,Média,Não,,,,,,Agência Física,0.0,Neutro,18771.59,4.69,14310.21,57.81,1,137068.58,1.76,Moderado,Média Renda,Sim,Sim,Sim,Sim,67.08,6.7,100.0,1
Vitor Macedo,1965-02-25,60,Masculino,Viúvo,Brasileira,Pós-Graduação,Comerciante,8426.67,0.0,Sim,2.8,44074-107,824,Corrente,1988-02-09,37.04585900068447,53655.3,12359.6,62,497.73,Saque,Alta,Não,,,,,,Internet Banking,0.0,Neutro,51715.42,3.75,14687.45,70.35,7,529251.36,0.91,Conservador,Alta Renda,Sim,Não,Não,Sim,74.22,0.8,98.53,1
Murilo da Cruz,1965-02-25,60,Feminino,Casado,Brasileira,Ensino Fundamental,Enfermeiro,2933.13,1.0,Não,5.0,41944-364,694,Salário,2024-02-10,1.0431211498973303,5386.45,0.0,9,160.03,Compra Débito,Média,Não,,,,,,Mobile Banking,0.0,Satisfeito,5316.03,1.32,2761.65,13.79,5,102046.18,2.56,Conservador,Varejo,Sim,Não,Não,Sim,82.81,0.1,34.7,0
Sra. Ester Araújo,1965-02-25,60,Masculino,Divorciado,Brasileira,Superior Incompleto,Recepcionista,6729.97,0.0,Não,6.7,57537-157,777,Corrente,1991-06-23,33.67830253251198,59643.38,6999.71,34,1221.48,Compra Crédito,Alta,Não,,,,,,Internet Banking,0.0,Neutro,52551.54,13.5,18862.36,71.47,4,157117.1,1.69,Moderado,Alta Renda,Sim,Não,Não,Sim,82.13,0.2,100.0,1
Kaique Correia,1965-02-25,60,Feminino,Viúvo,Brasileira,,Motorista,4412.71,0.0,Não,7.9,62932-776,694,Corrente,2013-07-12,11.624914442162902,16648.12,6242.9,23,704.0,Pagamento de Boleto,Baixa,Não,,,,,,Telefone,0.0,Neutro,19328.17,-13.87,6766.39,25.29,3,179698.1,2.56,Conservador,Média Renda,Sim,Não,Não,Não,29.73,1.6,26.64,0
Alice Rios,1965-02-25,60,Masculino,Viúvo,Outras,Superior Incompleto,Engenheiro,5823.24,0.0,Sim,8.7,50778-791,816,Corrente,2023-10-15,1.3661875427789183,8336.79,6426.92,30,1666.79,Pagamento de Boleto,Alta,Sim,Imobiliário,1803952.2,0.63,180.0,Em Dia,Agência Física,0.0,Neutro,11279.37,-26.09,9509.95,36.61,4,253587.9,1.2,Moderado,Média Renda,Sim,Não,Não,Sim,89.91,0.1,100.0,1
Felipe Lima,1965-02-25,60,Feminino,Viúvo,Brasileira,Ensino Fundamental,Professor,,1.0,Sim,19.5,96103-326,739,Digital,1995-02-15,30.028747433264886,15717.04,0.0,24,,Pagamento de Boleto,Média,Não,,,,,,Agência Física,0.0,Neutro,15129.13,3.89,9289.29,38.1,10,541401.95,2.49,Conservador,Média Renda,Sim,Sim,Sim,Não,79.96,0.4,78.96,0
Bárbara Montenegro,1965-02-25,60,Masculino,Divorciado,Brasileira,Superior Completo,Contador,5523.98,0.0,Sim,15.6,75662-738,790,Digital,2011-08-11,13.544147843942506,96149.86,0.0,26,503.46,Transferência,Alta,Sim,Veículo,40344.79,1.21,60.0,Em Dia,Agência Física,0.0,Satisfeito,95173.15,1.03,15013.0,21.2,7,140885.68,2.66,Conservador,Alta Renda,Sim,Sim,Não,Sim,79.07,0.0,64.58,0
Carolina Brito,1965-02-25,60,Feminino,Casado,Brasileira,Ensino Médio,Engenheiro,3850.24,1.0,Sim,,86372-682,692,Salário,2001-11-16,23.277207392197127,17344.72,0.0,12,,Depósito,Média,Não,,,,,,Agência Física,2.0,Muito Insatisfeito,18783.24,-7.66,10747.99,64.4,10,175497.41,1.65,Conservador,Varejo,Sim,Não,Não,Não,60.19,0.1,100.0,1
Carolina Siqueira,1965-02-25,60,Masculino,Casado,Brasileira,Superior Incompleto,Recepcionista,8702.85,2.0,Sim,33.3,16178-880,782,Poupança,2015-11-02,9.316906228610542,96224.86,0.0,7,1219.16,Transferência,Média,Não,,,,,,Agência Física,0.0,Neutro,90960.48,5.79,27252.44,20.34,4,334018.48,2.26,Moderado,Alta Renda,Sim,Sim,Não,Não,86.68,0.1,66.38,0
Josué Gonçalves,1965-02-25,60,Feminino,Casado,Brasileira,Ensino Médio,Advogado,3586.42,0.0,Sim,14.1,40940-625,749,Digital,2011-05-04,13.815195071868583,10823.27,0.0,18,531.65,Compra Débito,Alta,Sim,Pessoal,7670.52,3.84,12.0,Em Dia,Agência Física,3.0,Muito Insatisfeito,10433.61,3.73,7002.22,30.89,5,82054.51,2.15,Arrojado,Varejo,Sim,Não,Não,Não,67.17,1.3,63.45,0
Benjamim Oliveira,1965-02-25,60,Feminino,Viúvo,Brasileira,Ensino Médio,Autônomo,7600.55,0.0,Sim,15.6,28646-444,837,Digital,1994-01-20,31.09924709103354,38802.9,0.0,35,409.58,Compra Crédito,Média,Sim,Imobiliário,2929542.54,0.72,300.0,Em Dia,Agência Física,0.0,Satisfeito,38461.83,0.89,11792.21,40.08,5,177161.2,1.06,Moderado,Média Renda,Sim,Não,Não,Não,80.57,0.0,100.0,0
Pedro Vieira,1965-02-25,60,Masculino,Viúvo,,Ensino Médio,Comerciante,5536.3,0.0,Não,1.0,24132-377,718,Corrente,2019-02-25,6.001368925393567,6429.18,5671.02,27,405.26,Compra Crédito,Alta,Não,,,,,,Agência Física,0.0,Neutro,10563.16,-39.14,13654.56,48.55,5,126348.33,1.84,Conservador,Média Renda,Não,Não,Não,Não,,,23.24,0
Oliver Marques,1965-02-25,60,Masculino,Solteiro,Brasileira,Superior Incompleto,Recepcionista,11725.87,0.0,Sim,13.0,46320-488,804,Corrente,2020-03-26,4.919917864476386,82815.91,12803.04,51,1042.86,Compra Débito,Baixa,Não,,,,,,Telefone,0.0,Insatisfeito,79337.39,4.38,28683.79,39.74,3,919917.76,1.08,Moderado,Alta Renda,Sim,Sim,Não,Não,76.23,0.3,79.7,0
Raul Siqueira,1965-02-25,60,Masculino,Casado,Brasileira,Ensino Fundamental,Motorista,3636.47,3.0,Sim,27.1,83250-305,704,Salário,1985-09-22,39.42778918548939,62685.6,0.0,21,268.9,Pagamento de Boleto,Alta,Não,,,,,,Telefone,0.0,Satisfeito,70825.66,-11.49,9885.3,24.75,5,46639.47,1.78,Arrojado,Alta Renda,Sim,Sim,Não,Não,44.55,0.5,46.83,0
Isabela Souza,1965-02-25,60,Masculino,Casado,Brasileira,Pós-Graduação,Estudante,10075.72,2.0,Sim,16.1,87833-641,820,Digital,2011-06-16,13.697467488021903,31761.58,0.0,29,1768.04,Compra Crédito,Média,Não,,,,,,Agência Física,0.0,Satisfeito,32406.7,-1.99,23280.23,17.55,9,262493.89,1.03,Moderado,Alta Renda,Sim,Sim,Sim,Não,65.22,0.0,52.03,0
Dom Melo,1965-02-25,60,Outro,Casado,Brasileira,Ensino Médio,Contador,4699.99,1.0,Sim,28.2,56813-359,702,Poupança,2019-11-16,5.278576317590692,8420.39,0.0,3,497.96,Depósito,Baixa,Sim,Pessoal,44341.33,3.02,36.0,Em Dia,Mobile Banking,0.0,Satisfeito,8087.71,4.11,9776.06,37.88,4,158563.77,2.12,Moderado,Média Renda,Sim,Não,Não,Não,95.46,1.1,100.0,1
Davi Moura,1965-02-25,60,Masculino,Casado,Brasileira,,Técnico,23575.23,3.0,Não,10.8,27780-395,833,Corrente,1983-03-27,41.9192334017796,185273.53,18521.77,77,,Compra Débito,Média,Não,,,,,,Agência Física,0.0,Neutro,213692.12,-13.3,67654.36,13.34,13,1471843.09,1.07,Arrojado,Private,Sim,Sim,Não,Sim,97.64,0.7,60.3,0
Sra. Maya Borges,1965-02-25,60,Masculino,Viúvo,Brasileira,,Enfermeiro,10946.17,1.0,Sim,27.9,39242-960,682,Digital,2000-10-22,24.34496919917865,54844.03,0.0,43,1189.81,Pagamento de Boleto,Média,Sim,Imobiliário,3591982.13,0.74,360.0,Em Atraso,Telefone,3.0,,62521.98,-12.28,22698.49,53.12,6,273844.99,2.51,Arrojado,Alta Renda,Sim,Sim,Não,Sim,76.26,0.6,100.0,1
